distance_from_tip_micrometer,dF_F0,stimulation_current_microampere
0.8931046296822274, 52.95352993160711,25
1.8549207568023434, 51.84279739693268,25
2.697085116912291, 50.629928537230725,25
3.889000795975008, 49.231642964401864,25
4.579299451802839, 47.95218907742235,25
5.499697659573286, 46.82921327814526,25
5.810467407373423, 45.75149788956664,25
6.4719728572362385, 44.4726973221487,25
6.939520595033301, 43.05183167168661,25
7.296896265272409, 41.81218326445137,25
8.200712400068852, 40.52252687786033,25
9.513554243660181, 39.26188057925274,25
9.62308163038486, 38.042608557635596,25
10.595942535998205, 36.88438263182337,25
11.369077030525375, 35.60406451440131,25
12.142211525052545, 34.450788272032725,25
13.676883496688973, 33.20181814975373,25
14.487386158451628, 31.870628285827564,25
15.855014222634168, 30.658580802166043,25
16.725699386141642, 29.11895513079368,25
18.360061660929205, 28.31325253645931,25
20.934775603883566, 28.76313059686487,25
21.96562159658646, 27.73862469043484,25
22.931303396179203, 26.45440967938096,25
23.66835828096177, 25.02860753303763,25
24.662388345353847, 23.585604582007605,25
25.54517027854584, 22.35928549555662,25
27.92059800086119, 21.421296571472247,25
30.573510482081872, 21.001139619025835,25
30.844632307085746, 20.392545057448615,25
33.70106690494268, 20.273244994960834,25
36.45729137793204, 20.135066332159163,25
39.5498293560407, 19.98726328488374,25
42.034904517020905, 19.000469252310033,25
44.72983046937274, 18.154780481082064,25
45.786068624395895, 17.241321254188755,25
48.1251794578379, 16.392693175145517,25
49.697219596709814, 16.845589210238757,25
52.027361059381974, 17.352931763212062,25
54.9883587936301, 16.93633340670553,25
58.11992519574139, 16.520369624999454,25
60.96493898917058, 16.18150668155012,25
63.660028567870484, 15.755173947604419,25
65.63743373387294, 15.33908996996557,25
67.44709903356275, 16.232378428054226,25
70.02421401531996, 15.93402250936802,25
71.90550795200275, 14.975433815782694,25
75.0482996722557, 14.730919453666772,25
77.76973309299134, 14.110559128730316,25
81.23606479193228, 13.721011868261428,25
84.38742822071151, 13.455594060413944,25
87.16091781858239, 13.889860140057024,25
90.20946710993348, 14.548771102940748,25
92.36897232305597, 15.380557906124423,25
95.15568707849184, 15.2717077247664,25
96.29698085612719, 14.102639635220484,25
97.79122733778581, 13.096921347106559,25
100.37085375093457, 12.27410140673021,25
103.3334251545322, 11.94437141698242,25
106.42596313264087, 12.700229326188591,25
109.28656076239139, 12.630933757977601,25
110.34279891741454, 11.823844198814328,25
113.30133774468607, 11.96720477810635,25
116.56494973749989, 12.09981120411203,25
119.56924953960277, 11.729148574388347,25
122.66178751771145, 11.647596647174055,25
125.73945752477152, 11.324471158776305,25
128.84686347392883, 11.903124054952045,25
131.7425385020421, 12.101989808740996,25
134.26238426198253, 11.226934661667485,25
136.904949782959, 10.601720678892121,25
138.16427109547314, 9.871145553989294,25
141.2170153863635, 10.287258647413097,25
144.07761301611401, 10.987638854688441,25
147.40209134258086, 11.5298354285774,25
150.55905719523346, 11.847783844228019,25
153.13728300241397, 10.839262137205495,25
155.988344623147, 10.095934345072322,25
159.0624258096092, 9.520484410497204,25
161.83504606584458, 8.782014397871066,25
164.81943981404575, 8.716532490096085,25
167.63244394937513, 9.286322662143291,25
171.0174844779133, 9.278348172150757,25
173.62534710738387, 8.651160697636868,25
176.5879185109815, 8.366506488866492,25
179.68045648909023, 8.913721491802448,25
182.52945710142282, 8.813737886240887,25
184.7560844456611, 8.235614860023489,25
187.52224921929437, 8.808835342639583,25
190.4540856703263, 8.683066243328753,25
192.54868543165296, 8.472692005477938,25
195.6070270763499, 8.395654624701265,25
198.3967540441021, 7.888037089314423,25
201.85284931428012, 8.164197998908094,25
204.75707381907895, 8.718703964122966,25
207.646756032195, 8.78840807763406,25
210.96939356224627, 8.918828308053833,25
214.08494149554926, 8.714555657998787,25
217.17747947365788, 8.719269642230799,25
219.9736492288645, 9.722719752424368,25
222.7228786754748, 10.375449435754206,25
226.3332406887378, 10.287796656483067,25
