distance_micrometer,synapse_probability,stimulation_current_microampere
0, 1,15
4.969089633098065, 0.8340533687981645,15
9.702517826172198, 0.7574453984757894,15
15.753029546243397, 0.6793811437245425,15
21.79689961062479, 0.6051584226242634,15
28.499472537099223, 0.530114379882513,15
36.52068871787151, 0.45271190644104586,15
45.85190008748458, 0.3779530433602737,15
57.153664138957765, 0.3039437504709511,15
71.74601920491313, 0.22751868377064444,15
92.90832862563605, 0.15275615620380179,15
125.23841695327405, 0.08148134336007284,15
185.1462814557575, 0.02646217029603526,15
277.20233500322337, 0.0053787294762082105,15
373.82846202931825, 0.0021716851691673256,15
473.0791574351006, 0.0016039452232761153,15
570.3570514596561, 0.001587282799609735,15
667.6346842432479, 0.001721722149514715,15
765.5708272644677, 0.0011462538483890672,15
865.140730152948, 0.0004742009358280175,15
962.6510134438599, 0.00047941538947995355,15
1062.2387572588616, 0.00032431312979090965,15
1157.6743536712436, 0.00032941663762044993,15
1255.1846369621555, 0.000334631091272386,15
1354.766833486038, 0.0003350038414991000,15
1454.3545773010394, 0.0003452818902209831,15
1551.862086946392, 0.0005109240030362283,15
1647.2976833587738, 0.0005160275108657686,15
1746.882653528216, 0.00052135291034007825,15
1844.395710464687, 0.00036613970482866076,15
1939.834080522629, 0.0002108155534948475,15
0, 1,30
5.480797350409716, 0.9182540388981792,30
24.032032768805095, 0.8330470591052074,30
37.96255775160449, 0.7592520987091997,30
51.889274949443916, 0.6876595611340335,30
69.76370588185966, 0.6137438822385335,30
92.06229545758788, 0.5334810509476926,30
112.23546594583331, 0.46359510261548087,30
139.97117632316673, 0.38850159967616593,30
173.97176695026604, 0.3119996361343659,30
211.06110205550846, 0.24422648712421624,30
255.55555837379273, 0.1814524252452029,30
317.75376149799155, 0.12112330007478533,30
392.10652793104106, 0.07496595381956683,30
477.60790808272503, 0.04338146718900071,30
577.4182997195651, 0.02322335823376309,30
668.2699647215827, 0.014447907273757554,30
766.2156857352047, 0.008332528167098507,30
864.8099706525763, 0.007260200925017335,30
962.0959675146805, 0.002556857263194434,30
1058.7165062945933, 0.002582054547900725,30
1158.6244815743617, 0.0020160492815926023,30
1253.9308285849236, 0.001824938372492424,30
1345.2928196923071, 0.0020147991032437584,30
1443.227803659366, 0.0021097277288675276,30
1541.8200047236205, 0.0022427011294774424,30
1637.7833542166918, 0.0022137681302352163,30
1735.7182678768386, 0.002349362273529998,30
1834.9680800840033, 0.002292464408225614,30
1932.24641034347, 0.002023483711945051,30
0, 1,50
19.954752874397457, 0.9103112672719612,50
40.457869447286555, 0.8366534690991141,50
65.56419673398796, 0.7617054906089378,50
90.66709794198368, 0.6887391560421432,50
119.05580072441404, 0.6161272597878684,50
150.0716274508972, 0.5446765294658482,50
185.68794221655014, 0.47351041383978854,50
224.58544509646725, 0.40536716188886046,50
271.3699686587616, 0.33744011276813957,50
323.4044799189814, 0.274299489512129,50
385.29088801237316, 0.2154079448460361,50
455.05234741912744, 0.16365568604831748,50
534.0012912117104, 0.12027625159082145,50
619.5071015747419, 0.0861293307167762,50
711.5709746868235, 0.06052305372329991,50
803.6217057718543, 0.042518125175963206,50
902.2365886159116, 0.029531957138673404,50
995.5851174863092, 0.02122561712146287,50
1093.531222529551, 0.014888115282656544,50
1188.84460831396, 0.0106257775807026,50
1286.7841340364535, 0.008093754862846803,50
1385.3791045763437, 0.0066248635557453195,50
1482.6590172810759, 0.005440596518119678,50
1581.252714864996, 0.004707982944056388,50
1679.8464104132727, 0.003976546786411461,50
1777.782071829302, 0.0036796389275259855,50
1875.0601798395114, 0.003539207201557426,50
1973.6524220134552, 0.003648402757947977,50
0, 1,100
6.634399621420869, 0.9821112811013076,100
34.40715308422682, 0.9148360893549035,100
70.0266738799171, 0.8418156059552753,100
106.29763676471651, 0.7721734320079527,100
144.53755475017397, 0.7042048692193582,100
189.35242731495663, 0.6350067156801147,100
234.81783934070228, 0.5697089517129497,100
286.8557221926706, 0.5046181997896572,100
342.17444419670556, 0.44275215127651346,100
404.0621308082489, 0.3831211117115718,100
470.54373676395613, 0.32757402003392055,100
542.2753756245227, 0.2767872065305045,100
619.2566694826257, 0.23097925279682685,100
701.486551577007, 0.19076717354454797,100
786.3358043311543, 0.1562007598562355,100
877.0924530107402, 0.12634826703188062,100
968.496169886396, 0.10240394339391135,100
1061.2071851493452, 0.0826630601317433,100
1157.8557635406266, 0.06647014620077052,100
1251.2119592718204, 0.05372929389902259,100
1347.1930186609727, 0.04345695700647001,100
1442.51396898284, 0.03481929083829827,100
1539.8020993382509, 0.02888193464790545,100
1636.433068024643, 0.022874474025058378,100
1734.3741829618916, 0.019423249492604766,100
1831.6552457245339, 0.01757378895986017,100
1928.9366815029075, 0.01550857612801071,100
