face_detection_index_dprime,delta_accuracy,monkey
0.4950344499881205,1.1233543358507214,C
2.2054407222618195,-1.3114259991996358,C
3.19567593252554,-2.02506902230333,C
3.580327868852459,-2.20030931023817,C
2.6491803278688524,-2.143272502319828,C
2.3278688524590168,-2.208186410970203,C
1.7704918032786887,0.5556036704814922,C
0.9836065573770494,0.3116609959789667,C
1.0032786885245901,0.7268790596968753,C
0.23606557377049198,1.5270852665223218,C
-0.11511047754811132, 0.9753091664111471,E
0.5231471882042089, -1.005986409315529,E
1.3114754098360657, -3.8120630992885864,E
2.118032786885246, -2.0082482730178377,E
0.9639344262295082, -2.304814929374163,E
0.6229508196721314, -1.8667079080317563,E
